title,url,date,source,keyword
"Para Tombini, próximos trimestres serão de volatilidade",https://valor.globo.com/financas/noticia/2011/12/20/para-tombini-proximos-trimestres-serao-de-volatilidade.ghtml,2011-12-20,valor,recessão brasil
Turismo estrangeiro recua no Ceará,https://valor.globo.com/noticia/2011/12/20/turismo-estrangeiro-recua-no-ceara.ghtml,2011-12-20,valor,recessão brasil
"Governo deve evitar ""excessiva"" apreciação do real, diz Mantega",https://valor.globo.com/financas/noticia/2011/12/20/governo-deve-evitar-excessiva-apreciacao-do-real-diz-mantega.ghtml,2011-12-20,valor,recessão brasil
"Para BC, cenário externo segue preocupante",https://valor.globo.com/financas/noticia/2011/12/21/para-bc-cenario-externo-segue-preocupante.ghtml,2011-12-21,valor,recessão brasil
"Para Mark Mobius, 2012 será bom para as bolsas",https://valor.globo.com/financas/noticia/2011/12/21/para-mark-mobius-2012-sera-bom-para-as-bolsas.ghtml,2011-12-21,valor,recessão brasil
Exportações ganham mais espaço no PIB,https://valor.globo.com/brasil/noticia/2011/12/21/exportacoes-ganham-mais-espaco-no-pib.ghtml,2011-12-21,valor,recessão brasil
Incertezas com a Europa levam Bovespa de volta ao campo negativo,https://valor.globo.com/financas/noticia/2011/12/21/incertezas-com-a-europa-levam-bovespa-de-volta-ao-campo-negativo.ghtml,2011-12-21,valor,recessão brasil
Jogo de contrapesos,https://valor.globo.com/noticia/2011/12/21/jogo-de-contrapesos.ghtml,2011-12-21,valor,recessão brasil
Dia reserva Relatório de Inflação e PIB dos EUA,https://valor.globo.com/financas/noticia/2011/12/22/dia-reserva-relatorio-de-inflacao-e-pib-dos-eua.ghtml,2011-12-22,valor,recessão brasil
Relatório do BC vê possibilidade elevada de recessão em alguns países,https://valor.globo.com/brasil/noticia/2011/12/22/relatorio-do-bc-ve-possibilidade-elevada-de-recessao-em-alguns-paises.ghtml,2011-12-22,valor,recessão brasil
Crise global e as commodities,https://valor.globo.com/opiniao/noticia/2011/12/23/crise-global-e-as-commodities.ghtml,2011-12-23,valor,recessão brasil
Otimismo moderado,https://valor.globo.com/noticia/2011/12/27/otimismo-moderado.ghtml,2011-12-27,valor,recessão brasil
Projeções de lucros para as empresas justificam otimismo,https://valor.globo.com/noticia/2011/12/27/projecoes-de-lucros-para-as-empresas-justificam-otimismo.ghtml,2011-12-27,valor,recessão brasil
